NUTS_3;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA;DEGURBA
PL114;1101506;110150602;no;Andrespol;Andrespol;12834;23340000;2
PL114;1101506;110150603;no;Brójce;Brójce;6081;69020000;3
PL114;1101506;110150607;no;Koluszki;Koluszki;23632;157200000;3
PL114;1101506;110150608;no;Nowosolna;Nowosolna;4345;53980000;3
PL114;1101506;110150610;no;Rzgów;Rzgów;9682;66320000;2
PL114;1101506;110150611;no;Tuszyn;Tuszyn;12097;129900000;3
PL114;1101508;110150801;no;Konstantynów Łódzki;Konstantynów Łódzki;17762;27250000;2
PL114;1101508;110150802;no;Pabianice;Pabianice;68922;32990000;1
PL114;1101508;110150803;no;Dłutów;Dłutów;4339;101230000;3
PL114;1101508;110150804;no;Dobroń;Dobroń;7293;95460000;3
PL114;1101508;110150805;no;Ksawerów;Ksawerów;7515;13640000;2
PL114;1101508;110150806;no;Lutomiersk;Lutomiersk;7749;133920000;3
PL114;1101508;110150807;no;Pabianice;Pabianice;6436;87690000;3
PL114;1101520;110152001;no;Głowno;Głowno;15073;19840000;2
PL114;1101520;110152002;no;Ozorków;Ozorków;20437;15460000;2
PL114;1101520;110152003;no;Zgierz;Zgierz;58163;42330000;1
PL114;1101520;110152004;no;Aleksandrów Łódzki;Aleksandrów Łódzki;29068;116430000;2
PL114;1101520;110152005;no;Głowno;Głowno;4854;104770000;3
PL114;1101520;110152006;no;Ozorków;Ozorków;6872;95510000;2
PL114;1101520;110152007;no;Parzęczew;Parzęczew;5107;103890000;3
PL114;1101520;110152008;no;Stryków;Stryków;12316;157900000;3
PL114;1101520;110152009;no;Zgierz;Zgierz;12718;199050000;3
PL114;1101521;110152101;no;Brzeziny;Brzeziny;12544;21580000;2
PL114;1101521;110152102;no;Brzeziny;Brzeziny;5513;106640000;3
PL114;1101521;110152103;no;Dmosin;Dmosin;4596;100190000;3
PL114;1101521;110152104;no;Jeżów;Jeżów;3517;64090000;3
PL114;1101521;110152105;no;Rogów;Rogów;4770;66060000;3
PL113;1101661;110166101;no;Łódź;Łódź;725055;293250000;1
PL115;1101701;110170101;no;Bełchatów;Bełchatów;60222;34640000;2
PL115;1101701;110170102;no;Bełchatów;Bełchatów;10294;180360000;3
PL115;1101701;110170103;no;Drużbice;Drużbice;5072;113350000;3
PL115;1101701;110170104;no;Kleszczów;Kleszczów;4839;124760000;3
PL115;1101701;110170105;no;Kluki;Kluki;4188;118540000;3
PL115;1101701;110170106;no;Rusiec;Rusiec;5219;99910000;3
PL115;1101701;110170107;no;Szczerców;Szczerców;7983;128950000;3
PL115;1101701;110170108;no;Zelów;Zelów;15188;167090000;2
PL115;1101707;110170701;no;Białaczów;Białaczów;6038;114630000;3
PL115;1101707;110170702;no;Drzewica;Drzewica;10919;118190000;3
PL115;1101707;110170703;no;Mniszków;Mniszków;4718;124160000;3
PL115;1101707;110170704;no;Opoczno;Opoczno;35435;190640000;2
PL115;1101707;110170705;no;Paradyż;Paradyż;4458;81390000;3
PL115;1101707;110170706;no;Poświętne;Poświętne;3311;140810000;3
PL115;1101707;110170707;no;Sławno;Sławno;7546;129310000;3
PL115;1101707;110170708;no;Żarnów;Żarnów;6097;141060000;3
PL115;1101710;110171001;no;Aleksandrów;Aleksandrów;4408;144090000;3
PL115;1101710;110171002;no;Czarnocin;Czarnocin;4081;71790000;3
PL115;1101710;110171003;no;Gorzkowice;Gorzkowice;8682;102170000;3
PL115;1101710;110171004;no;Grabica;Grabica;6100;127620000;3
PL115;1101710;110171005;no;Łęki Szlacheckie;Łęki Szlacheckie;3679;108960000;3
PL115;1101710;110171006;no;Moszczenica;Moszczenica;12917;111490000;3
PL115;1101710;110171007;no;Ręczno;Ręczno;3631;88900000;3
PL115;1101710;110171008;no;Rozprza;Rozprza;12191;163080000;3
PL115;1101710;110171009;no;Sulejów;Sulejów;16242;188230000;3
PL115;1101710;110171010;no;Wola Krzysztoporska;Wola Krzysztoporska;11772;170750000;3
PL115;1101710;110171011;no;Wolbórz;Wolbórz;7773;151660000;3
PL115;1101712;110171201;no;Radomsko;Radomsko;48133;51430000;2
PL115;1101712;110171202;no;Dobryszyce;Dobryszyce;4389;50820000;3
PL115;1101712;110171203;no;Gidle;Gidle;6406;115980000;3
PL115;1101712;110171204;no;Gomunice;Gomunice;6023;62450000;3
PL115;1101712;110171205;no;Kamieńsk;Kamieńsk;6151;96440000;3
PL115;1101712;110171206;no;Kobiele Wielkie;Kobiele Wielkie;4485;101720000;3
PL115;1101712;110171207;no;Kodrąb;Kodrąb;4762;105830000;3
PL115;1101712;110171208;no;Lgota Wielka;Lgota Wielka;4365;63070000;3
PL115;1101712;110171209;no;Ładzice;Ładzice;4899;82770000;3
PL115;1101712;110171210;no;Masłowice;Masłowice;4290;115970000;3
PL115;1101712;110171211;no;Przedbórz;Przedbórz;7473;189700000;3
PL115;1101712;110171212;no;Radomsko;Radomsko;5639;85630000;2
PL115;1101712;110171213;no;Wielgomłyny;Wielgomłyny;4826;123150000;3
PL115;1101712;110171214;no;Żytno;Żytno;5425;197610000;3
PL115;1101716;110171601;no;Tomaszów Mazowiecki;Tomaszów Mazowiecki;65834;41300000;1
PL115;1101716;110171602;no;Będków;Będków;3410;57740000;3
PL115;1101716;110171603;no;Budziszewice;Budziszewice;2254;30170000;3
PL115;1101716;110171604;no;Czerniewice;Czerniewice;5191;128070000;3
PL115;1101716;110171605;no;Inowłódz;Inowłódz;3924;97830000;3
PL115;1101716;110171606;no;Lubochnia;Lubochnia;7451;131370000;3
PL115;1101716;110171607;no;Rokiciny;Rokiciny;6134;90580000;3
PL115;1101716;110171608;no;Rzeczyca;Rzeczyca;4848;108610000;3
PL115;1101716;110171609;no;Tomaszów Mazowiecki;Tomaszów Mazowiecki;10562;149820000;3
PL115;1101716;110171610;no;Ujazd;Ujazd;7907;96950000;3
PL115;1101716;110171611;no;Żelechlinek;Żelechlinek;3392;92350000;3
PL115;1101762;110176201;no;Piotrków Trybunalski;Piotrków Trybunalski;76505;67240000;1
PL116;1101803;110180301;no;Buczek;Buczek;4979;92210000;3
PL116;1101803;110180302;no;Łask;Łask;28457;145370000;3
PL116;1101803;110180303;no;Sędziejowice;Sędziejowice;6387;120040000;3
PL116;1101803;110180304;no;Widawa;Widawa;7664;178310000;3
PL116;1101803;110180305;no;Wodzierady;Wodzierady;3238;82300000;3
PL116;1101809;110180901;no;Działoszyn;Działoszyn;12969;120920000;3
PL116;1101809;110180902;no;Kiełczygłów;Kiełczygłów;4247;87200000;3
PL116;1101809;110180903;no;Nowa Brzeźnica;Nowa Brzeźnica;4812;135210000;3
PL116;1101809;110180904;no;Pajęczno;Pajęczno;11778;113630000;2
PL116;1101809;110180905;no;Rząśnia;Rząśnia;4864;86140000;3
