"LAU_CODE","NSI","CNTR_CODE","DGURBA_CLA"
AT20642,20642,AT,3
AT20643,20643,AT,3
AT20644,20644,AT,3
AT20701,20701,AT,3
AT20702,20702,AT,3
AT20703,20703,AT,3
AT20705,20705,AT,3
AT20707,20707,AT,3
AT20708,20708,AT,3
AT20710,20710,AT,3
AT20711,20711,AT,3
AT20712,20712,AT,3
AT20713,20713,AT,3
AT20719,20719,AT,3
AT20720,20720,AT,3
AT20721,20721,AT,3
AT20722,20722,AT,3
AT20723,20723,AT,3
AT20724,20724,AT,3
AT20725,20725,AT,3
AT20726,20726,AT,3
AT20727,20727,AT,2
AT20801,20801,AT,3
AT20802,20802,AT,3
AT20803,20803,AT,3
AT20804,20804,AT,3
AT20805,20805,AT,3
AT20806,20806,AT,3
AT20807,20807,AT,3
AT20808,20808,AT,3
AT20810,20810,AT,3
AT20812,20812,AT,3
AT20813,20813,AT,3
AT20815,20815,AT,3
AT20817,20817,AT,3
AT20901,20901,AT,3
AT20905,20905,AT,3
AT20909,20909,AT,3
AT20911,20911,AT,3
AT20912,20912,AT,3
AT20913,20913,AT,3
AT20914,20914,AT,3
AT20918,20918,AT,3
AT20923,20923,AT,2
AT21001,21001,AT,3
AT21002,21002,AT,2
AT21003,21003,AT,3
AT21004,21004,AT,3
AT21005,21005,AT,3
AT21006,21006,AT,3
AT21007,21007,AT,3
AT21008,21008,AT,3
AT21009,21009,AT,3
AT21010,21010,AT,3
AT30101,30101,AT,2
AT30201,30201,AT,2
AT30301,30301,AT,2
AT30401,30401,AT,2
AT30501,30501,AT,3
AT30502,30502,AT,2
AT30503,30503,AT,3
AT30504,30504,AT,3
AT30506,30506,AT,3
AT30507,30507,AT,3
AT30508,30508,AT,2
AT30509,30509,AT,3
AT30510,30510,AT,3
AT30511,30511,AT,3
AT30512,30512,AT,3
AT30514,30514,AT,3
AT30515,30515,AT,3
AT30516,30516,AT,3
AT30517,30517,AT,2
AT30520,30520,AT,3
AT30521,30521,AT,3
AT30522,30522,AT,3
AT30524,30524,AT,3
AT30526,30526,AT,3
AT30527,30527,AT,3
AT30529,30529,AT,3
AT30530,30530,AT,3
AT30531,30531,AT,2
AT30532,30532,AT,3
AT30533,30533,AT,2
AT30534,30534,AT,3
AT30536,30536,AT,3
AT30538,30538,AT,3
AT30539,30539,AT,3
AT30541,30541,AT,3
AT30542,30542,AT,3
AT30543,30543,AT,3
AT30544,30544,AT,3
AT30601,30601,AT,3
AT30602,30602,AT,3
AT30603,30603,AT,2
AT30604,30604,AT,2
AT30605,30605,AT,2
AT30607,30607,AT,2
AT30608,30608,AT,2
AT30609,30609,AT,3
AT30612,30612,AT,2
AT30613,30613,AT,3
AT30614,30614,AT,3
AT30615,30615,AT,2
AT30616,30616,AT,3
AT30618,30618,AT,2
AT30620,30620,AT,2
AT30621,30621,AT,3
AT30623,30623,AT,2
AT30625,30625,AT,2
AT30626,30626,AT,3
AT30627,30627,AT,3
AT30629,30629,AT,3
AT30631,30631,AT,2
AT30633,30633,AT,3
AT30635,30635,AT,2
AT30636,30636,AT,2
AT30637,30637,AT,2
AT30639,30639,AT,2
AT30641,30641,AT,2
AT30645,30645,AT,3
AT30646,30646,AT,3
AT30701,30701,AT,3
AT30702,30702,AT,3
AT30703,30703,AT,3
AT30704,30704,AT,2
AT30706,30706,AT,2
AT30708,30708,AT,3
AT30709,30709,AT,3
AT30710,30710,AT,2
AT30711,30711,AT,3
AT30712,30712,AT,3
AT30713,30713,AT,3
AT30715,30715,AT,3
AT30716,30716,AT,3
AT30718,30718,AT,3
AT30719,30719,AT,3
AT30721,30721,AT,3
AT30722,30722,AT,3
AT30724,30724,AT,3
AT30726,30726,AT,3
AT30728,30728,AT,3
AT30801,30801,AT,3
AT30802,30802,AT,3
AT30803,30803,AT,3
AT30804,30804,AT,3
AT30805,30805,AT,3
AT30808,30808,AT,2
AT30810,30810,AT,3
AT30811,30811,AT,3
AT30812,30812,AT,3
AT30813,30813,AT,3
AT30814,30814,AT,3
AT30817,30817,AT,2
AT30819,30819,AT,3
